"plid","nadults","stablelink","datetime","moon","tempf"
"LOCKb2013a_000078",24,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4bd.JPG",2012-12-18 18:00:00,"newcres",39
"LOCKb2013a_000079",22,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4bf.JPG",2012-12-18 19:00:00,"newcres",35
"LOCKb2013a_000080",23,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4c1.JPG",2012-12-18 20:00:00,"newcres",34
"LOCKb2013a_000082",18,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4c5.JPG",2012-12-19 08:00:00,"firstq",41
"LOCKb2013a_000083",20,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4c7.JPG",2012-12-19 09:00:00,"firstq",48
"LOCKb2013a_000084",19,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4c9.JPG",2012-12-19 10:00:00,"firstq",47
"LOCKb2013a_000086",21,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4cd.JPG",2012-12-19 12:00:00,"firstq",44
"LOCKb2013a_000088",22,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4d1.JPG",2012-12-19 14:00:00,"firstq",47
"LOCKb2013a_000089",22,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4d3.JPG",2012-12-19 15:00:00,"firstq",48
"LOCKb2013a_000090",22,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4d5.JPG",2012-12-19 16:00:00,"firstq",48
"LOCKb2013a_000092",21,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4d9.JPG",2012-12-19 18:00:00,"firstq",43
"LOCKb2013a_000093",24,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4db.JPG",2012-12-19 19:00:00,"firstq",41
"LOCKb2013a_000094",22,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4dd.JPG",2012-12-19 20:00:00,"firstq",44
"LOCKb2013a_000095",20,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4df.JPG",2012-12-20 07:00:00,"firstq",57
"LOCKb2013a_000096",19,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4e1.JPG",2012-12-20 08:00:00,"firstq",57
"LOCKb2013a_000097",24,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4e3.JPG",2012-12-20 09:00:00,"firstq",56
"LOCKb2013a_000098",23,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f4e5.JPG",2012-12-20 10:00:00,"firstq",57
