imageid,datetime,nadults,nchicks,neggs,tempc,lunar_phase,URL
SPIGa2013b_000347,2013:02:01 16:00:00,14,13,0,15.56,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb312fc4d79f304ed65.JPG
SPIGa2013b_000886,2013:03:09 15:00:00,15,0,0,15.56,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb712fc4d79f304f19b.JPG
SPIGa2014a_000029,2013:12:25 16:00:00,33,0,0,15.56,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edb12fc4d79f30513b3.JPG
SPIGa2014a_000042,2013:12:26 15:00:00,25,0,0,15.56,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edb12fc4d79f30513cd.JPG
SPIGa2014a_000067,2013:12:28 12:00:00,39,0,0,15.56,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edb12fc4d79f30513ff.JPG
SPIGa2014a_000210,2014:01:07 15:00:00,34,1,0,15.56,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edc12fc4d79f305151d.JPG
SPIGa2012a_000173,2012:12:07 09:00:00,14,0,0,15,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eaf12fc4d79f304e8fd.JPG
SPIGa2012a_000283,2012:12:14 14:00:00,13,0,0,15,new,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb012fc4d79f304e9d9.JPG
SPIGa2012a_000383,2012:12:21 09:00:00,12,0,0,15,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb012fc4d79f304eaa1.JPG
SPIGa2012a_000384,2012:12:21 10:00:00,11,0,0,15,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb012fc4d79f304eaa3.JPG
SPIGa2013b_000116,2013:01:17 10:00:00,13,12,0,15,newcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb112fc4d79f304eb97.JPG
SPIGa2013b_000239,2013:01:25 13:00:00,13,13,0,15,full,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb212fc4d79f304ec8d.JPG
SPIGa2013b_000345,2013:02:01 14:00:00,14,11,0,15,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb312fc4d79f304ed61.JPG
SPIGa2013b_000633,2013:02:20 17:00:00,16,0,0,15,waxinggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb512fc4d79f304efa1.JPG
SPIGa2014a_000058,2013:12:27 17:00:00,32,0,0,15,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edb12fc4d79f30513ed.JPG
SPIGa2014a_000061,2013:12:27 20:00:00,36,0,0,15,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edb12fc4d79f30513f3.JPG
SPIGa2014a_000211,2014:01:07 16:00:00,40,0,0,15,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edc12fc4d79f305151f.JPG
SPIGa2012a_000386,2012:12:21 12:00:00,21,0,0,14.44,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb012fc4d79f304eaa7.JPG
SPIGa2013b_000629,2013:02:20 13:00:00,6,0,0,14.44,waxinggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb512fc4d79f304ef99.JPG
SPIGa2014a_000056,2013:12:27 15:00:00,30,0,0,14.44,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edb12fc4d79f30513e9.JPG
SPIGa2014a_000059,2013:12:27 18:00:00,39,0,0,14.44,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edb12fc4d79f30513ef.JPG
SPIGa2012a_000016,2012:11:26 17:00:00,23,0,0,13.89,waxinggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119ead12fc4d79f304e7c3.JPG
SPIGa2012a_000017,2012:11:26 18:00:00,23,0,0,13.89,waxinggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119ead12fc4d79f304e7c5.JPG
SPIGa2012a_000161,2012:12:06 12:00:00,15,0,0,13.89,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eaf12fc4d79f304e8e5.JPG
